employee_name,first_matched_job_title,employee_name_clean,location
"Amelingmeyer, Jenny, Prof., Dr.",Professorin Wirtschaftsingenieurwesen,Jenny Amelingmeyer,mannheim
"Arzberger, Michael, Prof. Dr.",Professor Elektrotechnik,Michael Arzberger,mannheim
"Balling, Stephan, Dr.",Vertretungsprofessor BWL - Gesundheitsmanagement,Stephan Balling,mannheim
"Bauer, Jan Owe",Wissenschaftlicher Mitarbeiter,Jan Owe Bauer,mannheim
"Baumgart, Jörg, Prof. Dr.-Ing.","Studiengangsleiter, Professor WI - E-Government",Jörg Baumgart,mannheim
"Bayreuther, Konstantin, Prof. Dr.-Ing.","Studiengangsleiter, Professor Informatik",Konstantin Bayreuther,mannheim
"Becher, Kai, Prof. Dr.","Studiengangsleiter, Professor Maschinenbau",Kai Becher,mannheim
"Becker, Ralph, Dr.",Vertretungsprofessor BWL - Gesundheitsmanagement,Ralph Becker,mannheim
"Beckmann, Carl-Christian, Prof. Dr.",Professor BWL - Öffentliche Wirtschaft,Carl-Christian Beckmann,mannheim
"Bendl, Harald, Prof. Dr.","Studiengangsleiter, Professor WI - International Management for Business and Information Technology",Harald Bendl,mannheim
"Bennemann, Kerstin, Prof. Dr.",Wissenschaftliche Leiterin Prüfungsamt,Kerstin Bennemann,mannheim
"Berthold, Walter, Prof. Dr.",Professor Elektrotechnik,Walter Berthold,mannheim
"Beverungen, Johannes, Prof. Dr.",Professor Kooperative Forschung im Bereich International Trade,Johannes Beverungen,mannheim
"Boll, Michaela, Prof. Dr.",Professorin BWL - Immobilienwirtschaft,Michaela Boll,mannheim
"Bordt, Marcel",Akademischer Mitarbeiter BWL - Gesundheitsmanagement,Marcel Bordt,mannheim
"Botz, Martin, Prof. Dr.","Studiengangsleiter, Professor Maschinenbau",Martin Botz,mannheim
"Bozkurt, Hulusi, Prof. Dr.","Studiendekan, Studiengangsleiter, Professor Maschinenbau",Hulusi Bozkurt,mannheim
"Brandenburger, Markus, Prof. Dr.","Studiengangsleiter, Professor WI - Application Management",Markus Brandenburger,mannheim
"Brumby, Lennart, Prof. Dr.",Studiengangsleiter Integrated Engineering,Lennart Brumby,mannheim
"Buhleier, Marianne, Prof. Dr.",Professorin BWL - Handel,Marianne Buhleier,mannheim
"Bühler, Denise, Dipl.-Verww. (FH)","Personalwesen Professor*innen Wirtschaft L-Z, Teamleitung Arbeitszeit - Fachbereich Personal",Denise Bühler,mannheim
"Chadwick, Eric",Akademischer Mitarbeiter Maschinenbau,Eric Chadwick,mannheim
"Chammout, Aiman, Prof. Dr.",Professor BWL - Industrie,Aiman Chammout,mannheim
"Corsten, Martina, Prof. Dr.","Studiengangsleiterin, Professorin RSW - Steuern und Prüfungswesen",Martina Corsten,mannheim
"Daum, Ralf, Prof. Dr.","Studiengangsleiter, Professor BWL - Öffentliche Wirtschaft/Versorgungswirtschaft",Ralf Daum,mannheim
"Dinkel, Michael, Prof. Dr.","Studiengangsleiter, Professor BWL - Messe-, Kongress- und Eventmanagement",Michael Dinkel,mannheim
"Drabant, Bernhard, Prof. Dr.","Studiengangsleiter, Professor WI - Data Science",Bernhard Drabant,mannheim
"Dunz, Alexandra, Prof. Dr.",Professorin Maschinenbau,Alexandra Dunz,mannheim
"Ebeling, Frank, Prof. Dr.","Studiengangsleiter, Professor BWL - Bank",Frank Ebeling,mannheim
"Ermschel, Ulrich, Prof. Dr.","Studiengangsleiter, Professor",Ulrich Ermschel,mannheim
"Ewald, Michael",Akademischer Mitarbeiter EdCon,Michael Ewald,mannheim
"Finkel, Ariana, Prof. Dr.",Professorin BWL - Marketing Management,Ariana Finkel,mannheim
"Focke, Kai, Prof. Dr.",Professor BWL - Industrie,Kai Focke,mannheim
"Führer, Christian, Prof. Dr.","Studiengangsleiter, Professor BWL - Marketing Management",Christian Führer,mannheim
"Gamber, Thilo, Prof. Dr.","Studiengangsleiter, Professor Wirtschaftsingenieurwesen",Thilo Gamber,mannheim
"Gerhards, Holger, Prof. Dr.",Professor Informatik,Holger Gerhards,mannheim
"Gerhards, Ralf, Prof. Dr.",Professor RSW - Accounting & Controlling,Ralf Gerhards,mannheim
"Günther, Tobias, Prof. Dr.",Professor Wirtschaftsinformatik,Tobias Günther,mannheim
"Gutiérrez Landa, Izaskun, Prof. Dr.",Professorin Chemische Technik,Izaskun Gutiérrez Landa,mannheim
"Hansch, Julia, Prof. Dr.","Studiengangsleiterin, Professorin BWL - Spedition, Transport und Logistik",Julia Hansch,mannheim
"Harbrücker, Ulrich, Prof. Dr.","Studiengangsleiter, Professor RSW - Steuern und Prüfungswesen",Ulrich Harbrücker,mannheim
"Hartmann, Harald, Prof. Dr.","Studiendekan Internationales Management und Logistik, Studiengangsleiter, Professor BWL - Spedition, Transport und Logistik",Harald Hartmann,mannheim
"Heilig, Clemens, Prof. Dr.","Studiengangsleiter, Professor Wirtschaftsingenieurwesen",Clemens Heilig,mannheim
"Heinrich, Roman",Akademischer Mitarbeiter,Roman Heinrich,mannheim
"Heintz, Rüdiger, Prof. Dr.",Professor Elektrotechnik,Rüdiger Heintz,mannheim
"Heng, Stefan, Prof. Dr.",Professor ME - Digitale Medien,Stefan Heng,mannheim
"Hennig, Alexander, Prof. Dr.","Studiengangsleiter, Professor BWL - Digital Commerce Management",Alexander Hennig,mannheim
"Hermann-Schölles, Angela",Akademische Mitarbeiterin Chemische Technik,Angela Hermann-Schölles,mannheim
"Hilbert, Stefan, Prof.","Studiendekan Finanzdienstleistungen, Studiengangsleiter, Professor BWL - Finanzdienstleistungen",Stefan Hilbert,mannheim
"Hoch, Rainer, Prof. Dr.","Studiengangsleiter, Professor WI - International Management for Business and Information Technology",Rainer Hoch,mannheim
"Hofmann, Holger, Prof. Dr.","Studiendekan Studiengangsleiter, Professor Informatik",Holger Hofmann,mannheim
"Hohenstein, Nils-Ole, Prof. Dr.","Professor BWL - Spedition, Transport und Logistik",Nils-Ole Hohenstein,mannheim
"Holey, Thomas, Prof. Dr.","Studiengangsleiter, Professor WI - Software Engineering",Thomas Holey,mannheim
"Holschuh, Kai, Prof. Dr.",Professor BWL - International Business,Kai Holschuh,mannheim
"Honal, Andrea, Prof. Dr.","Professorin BWL - Spedition, Transport und Logistik",Andrea Honal,mannheim
"Hörer, Oliver, Prof. Dr.",Professor Integrated Engineering,Oliver Hörer,mannheim
"Hubert, Frank, Prof. Dr.",Professor Wirtschaftsinformatik,Frank Hubert,mannheim
